Number of randomly selected points = 1000
Model = lasso, resampling = CV, k-fold=5
Now inverse, lambda on x-axis for certian degrees
Lambda , Degrees, Mean(MSE-Train), Mean(MSE-test)
0.10985411419875583, 4, 3832.7036282453832, 3930.252869346042
0.1757510624854793, 4, 4033.4280287078336, 4112.610585154032
0.28117686979742307, 4, 4421.942634440683, 4573.90956321538
0.4498432668969444, 4, 5042.596797074893, 5184.8531339095825
0.7196856730011522, 4, 5549.267620781558, 5666.522766179194
1.151395399326448, 4, 5943.60159510526, 6067.137401028676
1.8420699693267164, 4, 6474.766387928885, 6557.438055777416
2.9470517025518097, 4, 6806.587457741067, 6922.681178452603
4.714866363457395, 4, 7316.106889513879, 7422.207711742459
7.543120063354623, 4, 8109.240408187899, 8168.104608676602
12.067926406393289, 4, 8354.8397229857, 8375.415516704272
19.306977288832496, 4, 8582.55612976052, 8609.626271981153
30.88843596477485, 4, 9163.47781295523, 9181.204957982583
49.417133613238384, 4, 10619.564984143048, 10620.161430915216
79.06043210907701, 4, 10628.229775000002, 10628.229775000002
126.48552168552958, 4, 10628.229775000003, 10628.229775000002
202.35896477251555, 4, 10628.229775, 10628.229775000002
323.7457542817647, 4, 10628.229775000003, 10628.229775000003
517.9474679231213, 4, 10628.229775, 10628.229775000002
828.6427728546843, 4, 10628.229775000002, 10628.229774999998
1325.711365590111, 4, 10628.229775000002, 10628.229775000002
2120.9508879201926, 4, 10628.229775, 10628.229775000002
3393.2217718953298, 4, 10628.229775, 10628.229775
5428.67543932386, 4, 10628.229775, 10628.229775
8685.11373751352, 4, 10628.229775, 10628.229775000002
13894.954943731389, 4, 10628.229775, 10628.229775000002
22229.964825261955, 4, 10628.229775, 10628.229775
35564.80306223129, 4, 10628.229775, 10628.229775000002
56898.66029018305, 4, 10628.229775000002, 10628.229775
91029.81779915227, 4, 10628.229775000002, 10628.229775000003
145634.84775012443, 4, 10628.229775000002, 10628.229775000002
232995.1810515372, 4, 10628.229775, 10628.229775000002
372759.3720314938, 4, 10628.229775, 10628.229775
596362.3316594637, 4, 10628.229775, 10628.229775000002
954095.4763499963, 4, 10628.229775, 10628.229775
1526417.9671752364, 4, 10628.229775000002, 10628.229775000002
2442053.0945486547, 4, 10628.229775000002, 10628.229775000002
3906939.937054621, 4, 10628.229775000002, 10628.229775000002
6250551.925273976, 4, 10628.229775000003, 10628.229775
10000000.0, 4, 10628.229775, 10628.229775000002
0.001, 6, 3433.577692636226, 3657.7560412432954
0.0015998587196060573, 6, 3430.4113521566746, 3692.4694990164717
0.002559547922699536, 6, 3437.7535732594115, 3621.1985014072757
0.004094915062380427, 6, 3435.8490034670003, 3646.6672807791947
0.006551285568595509, 6, 3441.490956288667, 3599.936804348488
0.010481131341546858, 6, 3437.0302105349597, 3655.955689822473
0.016768329368110083, 6, 3447.408263504264, 3642.113976278145
0.02682695795279726, 6, 3456.4681128397665, 3718.912144582823
0.04291934260128778, 6, 3486.037565192581, 3767.591100581617
0.06866488450043001, 6, 3548.7851125411275, 3748.3610750227804
0.10985411419875583, 6, 3599.745551740181, 3781.0852452914114
0.1757510624854793, 6, 3668.5558937657543, 3803.342230689091
0.28117686979742307, 6, 3826.441696700402, 3954.086863742258
0.4498432668969444, 6, 4089.227744031998, 4211.2639846457
0.7196856730011522, 6, 4618.134840319934, 4748.7034219973475
1.151395399326448, 6, 5612.229455886579, 5796.711599976699
1.8420699693267164, 6, 6419.541511610844, 6669.079292859811
2.9470517025518097, 6, 6766.529463743529, 6898.525821798171
4.714866363457395, 6, 7308.415683904706, 7492.7028189946695
7.543120063354623, 6, 8092.827755486389, 8200.54284429845
12.067926406393289, 6, 8355.778944400034, 8364.896505495144
19.306977288832496, 6, 8582.267404580718, 8598.535296593695
30.88843596477485, 6, 9163.863783256102, 9191.358190064295
49.417133613238384, 6, 10499.861822599381, 10544.763567321124
79.06043210907701, 6, 10628.229775000002, 10628.229775000002
126.48552168552958, 6, 10628.229775, 10628.229775000002
202.35896477251555, 6, 10628.229775, 10628.229775
323.7457542817647, 6, 10628.229775000002, 10628.229775
517.9474679231213, 6, 10628.229775, 10628.229775
828.6427728546843, 6, 10628.229775000002, 10628.229775000002
1325.711365590111, 6, 10628.229775, 10628.229775000002
2120.9508879201926, 6, 10628.229775, 10628.229775000002
3393.2217718953298, 6, 10628.229775000002, 10628.229775000002
5428.67543932386, 6, 10628.229775000002, 10628.229775000002
8685.11373751352, 6, 10628.229775, 10628.229775000002
13894.954943731389, 6, 10628.229775, 10628.229775
22229.964825261955, 6, 10628.229775, 10628.229775
35564.80306223129, 6, 10628.229775, 10628.229775
56898.66029018305, 6, 10628.229775000002, 10628.229775000002
91029.81779915227, 6, 10628.229775, 10628.229775
145634.84775012443, 6, 10628.229775000003, 10628.229775
232995.1810515372, 6, 10628.229775000002, 10628.229775
372759.3720314938, 6, 10628.229775, 10628.229775000002
596362.3316594637, 6, 10628.229775000002, 10628.229775
954095.4763499963, 6, 10628.229775000002, 10628.229775000002
1526417.9671752364, 6, 10628.229775000002, 10628.229775
2442053.0945486547, 6, 10628.229775, 10628.229775
3906939.937054621, 6, 10628.229775000003, 10628.229775000002
6250551.925273976, 6, 10628.229775, 10628.229775000002
10000000.0, 6, 10628.229775, 10628.229775000002
0.001, 8, 3375.4529167958462, 3764.728025365185
0.0015998587196060573, 8, 3379.053477116043, 3738.9072502576064
0.002559547922699536, 8, 3380.053366530314, 3720.7472572964107
0.004094915062380427, 8, 3376.756701531021, 3756.940606426592
0.006551285568595509, 8, 3380.3533394382343, 3727.6967074910144
0.010481131341546858, 8, 3381.422865665548, 3746.8832981427936
0.016768329368110083, 8, 3393.4713846420173, 3702.4665092910413
0.02682695795279726, 8, 3406.3545951164933, 3725.3610479597205
0.04291934260128778, 8, 3424.8547684738223, 3872.5824920349487
0.06866488450043001, 8, 3491.9011304821047, 3804.679264621257
0.10985411419875583, 8, 3538.2119795739463, 3841.366819977791
0.1757510624854793, 8, 3609.6682048601447, 3895.6586377943327
0.28117686979742307, 8, 3756.531990167097, 4077.283949985336
0.4498432668969444, 8, 4014.2882628672364, 4328.235890944803
0.7196856730011522, 8, 4559.728591507595, 4827.285602134229
1.151395399326448, 8, 5525.055386328025, 5981.659528835795
1.8420699693267164, 8, 6340.499306785081, 6739.484934351492
2.9470517025518097, 8, 6719.05653099224, 6937.480725994537
4.714866363457395, 8, 7287.572849883565, 7573.934931450666
7.543120063354623, 8, 8101.348457689308, 8186.584508053546
12.067926406393289, 8, 8356.318166044284, 8360.596195521703
19.306977288832496, 8, 8580.988019636818, 8618.41063863103
30.88843596477485, 8, 9164.109345017298, 9173.437510129823
49.417133613238384, 8, 10537.7175089454, 10571.314211838013
79.06043210907701, 8, 10628.229775, 10628.229775
126.48552168552958, 8, 10628.229775000002, 10628.229775000002
202.35896477251555, 8, 10628.229775, 10628.229775
323.7457542817647, 8, 10628.229775, 10628.229775
517.9474679231213, 8, 10628.229775, 10628.229775000002
828.6427728546843, 8, 10628.229775, 10628.229775
1325.711365590111, 8, 10628.229774999998, 10628.229775000002
2120.9508879201926, 8, 10628.229775000002, 10628.229775
3393.2217718953298, 8, 10628.229775000002, 10628.229775
5428.67543932386, 8, 10628.229775, 10628.229775
8685.11373751352, 8, 10628.229775000002, 10628.229775000002
13894.954943731389, 8, 10628.229775, 10628.229775
22229.964825261955, 8, 10628.229775000002, 10628.229775
35564.80306223129, 8, 10628.229775000002, 10628.229775000002
56898.66029018305, 8, 10628.229775000002, 10628.229775
91029.81779915227, 8, 10628.229774999998, 10628.229775
145634.84775012443, 8, 10628.229775, 10628.229775
232995.1810515372, 8, 10628.229775, 10628.229775
372759.3720314938, 8, 10628.229775000002, 10628.229775000002
596362.3316594637, 8, 10628.229775000002, 10628.229775
954095.4763499963, 8, 10628.229775, 10628.229775000002
1526417.9671752364, 8, 10628.229775000002, 10628.229775
2442053.0945486547, 8, 10628.229775000002, 10628.229775000003
3906939.937054621, 8, 10628.229775, 10628.229775000002
6250551.925273976, 8, 10628.229775, 10628.229775
10000000.0, 8, 10628.229775, 10628.229775
